,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,School,FullAddress,Latitude,Longitude
560,13597M,ST ANDREWS N S,Newcourt Road,Bray,Co. Wicklow,,Wicklow,Wicklow County Council,12867161,Daphne Wood,info@standrewsbray.ie,A98PY88,N,N,N,No subjects through Irish,Church Of Ireland,99.0,113.0,212,"ST ANDREWS N S, Newcourt Road, Bray","Newcourt Rd, Newcourt, Bray, Co. Wicklow, Ireland",53.1896749,-6.101335499999999
561,13607M,ST COLUMBAS N S,Dublin Road,Tullow,Co. Carlow,,Carlow,Carlow County Council,599151873,Michelle Hunter Garland,info@stcolumbasnstullow.com,R93R266,N,N,N,No subjects through Irish,Church Of Ireland,29.0,30.0,59,"ST COLUMBAS N S, Dublin Road, Tullow",.,.,.
562,13611D,PRESENTATION PRIMARY SCHOOL,Warrenmount,Blackpitts,Dublin 8,,Dublin,Dublin City Council,14539547,Grainne Noone,warrenmt@eircom.net,D08XR62,N,Y,N,No subjects through Irish,Catholic,131.0,60.0,191,"PRESENTATION PRIMARY SCHOOL, Warrenmount, Blackpitts","25-26 Blackpitts, Merchants Quay, Dublin, D08 XR62, Ireland",53.3357624,-6.275410099999999
563,13612F,PRESENTATION PRIMARY SCHOOL,Terenure Road West,Dublin 6W,,,Dublin,Dublin City Council,868678093,Carmel Hume,office@presterenure.ie,D6WAW64,N,N,N,No subjects through Irish,Catholic,582.0,,582,"PRESENTATION PRIMARY SCHOOL, Terenure Road West, Dublin 6W","Terenure Rd W, Terenure, Dublin 6W, Co. Dublin, Ireland",53.3103186,-6.287660199999999
564,13615L,SCOIL EOIN,Balloonagh,Tralee,Co. Kerry,,Kerry,Kerry County Council,667121375,Kieran O'Toole,balluamhnach@gmail.com,V92Y653,N,N,N,No subjects through Irish,Catholic,301.0,328.0,629,"SCOIL EOIN, Balloonagh, Tralee","Balloonagh, Tralee, Co. Kerry, Ireland",52.2723865,-9.710142200000002
565,13621G,S N MUIRE,Letterfrack,Co. Galway,,,Galway,Galway County Council,9541034,Olivia Kerrigan,letterfrackns@yahoo.ie,H91H603,N,Y,N,No subjects through Irish,Catholic,48.0,36.0,84,"S N MUIRE, Letterfrack, Co. Galway","Letterfrack, Co. Galway, Ireland",53.55360340000001,-9.9482317
566,13625O,KILNAMONA N S,Kilnamona,Ennis,Co. Clare,,Clare,Clare County Council,656822986,Sean Crowe,kilnamona.ias@eircom.net,V95XY88,N,N,N,No subjects through Irish,Catholic,58.0,49.0,107,"KILNAMONA N S, Kilnamona, Ennis","Mweelagarraun, Kilnamona, Co. Clare, V95 XY88, Ireland",52.867855,-9.0785584
567,13632L,ANNALITTEN N S,Annalitten,Castleblayeny,Co. Monaghan,,Monaghan,Monaghan County Council,429743054,Francis McDonnell,annalittenns@gmail.com,A75YX46,N,N,N,No subjects through Irish,Catholic,9.0,15.0,24,"ANNALITTEN N S, Annalitten, Castleblayeny","Monygorbet, Co. Monaghan, Ireland",54.0830401,-6.7032967
568,13635R,BALLYDUFF N S,Ballyduff West,Kilmeaden,Co. Waterford,,Waterford,Waterford County Council,51384414,Fionnuala Power,info@ballyduffns.com,X91Y510,N,N,N,No subjects through Irish,Catholic,112.0,117.0,229,"BALLYDUFF N S, Ballyduff West, Kilmeaden","Ballyduff National School, Ballyduff West, Co. Waterford, Ireland",52.2324403,-7.268985199999999
569,13643Q,EMO MIXED N S,Emo,Portlaoise,Co. Laois,,Laois,Laois County Council,578646868,Cyril Duggan,principal@emons.ie,R32DX52,N,N,N,No subjects through Irish,Catholic,83.0,126.0,209,"EMO MIXED N S, Emo, Portlaoise","Emo, Portlaoise, Co. Laois, Ireland",53.1004132,-7.208737099999999
570,13647B,CASTLEMARTYR N S,Gortnahomnamore,Castlemartyr,Co. Cork,,Cork,Cork County Council,214667689,Anne Marie Barry,castlemartyrns@gmail.com,P25FK64,N,N,N,No subjects through Irish,Catholic,147.0,112.0,259,"CASTLEMARTYR N S, Gortnahomnamore, Castlemartyr","National School, Gortnahomna More, Castlemartyr, Co. Cork, P25 FK64, Ireland",51.91129,-8.0516519
571,13648D,ST LUKES MXD N S,O' Mahony's Avenue,Cork,,,Cork,Cork City Council,214503686,Jacqueline Collier,stlukesjackie@gmail.com,T23DF30,N,N,N,No subjects through Irish,Church Of Ireland,53.0,30.0,83,"ST LUKES MXD N S, O' Mahony's Avenue, Cork","Ardview House, 2 Mahony's Ave, Montenotte, Cork, Co. Cork, T23 A0W7, Ireland",51.90391899999999,-8.4562779
572,13656C,ANNADUFF MXD N S,Antfield,Aughamore,Carrick on Shannon,Co. Leitrim,Leitrim,Leitrim County Council,719624416,Vincent J Tighe,annaduff.ias@eircom.net,N41K309,N,N,N,No subjects through Irish,Catholic,109.0,92.0,201,"ANNADUFF MXD N S, Antfield, Aughamore","Saint Ann's Church of Ireland, Annaduff, Carrick On Shannon, Co. Leitrim, Ireland",53.9025064,-7.9545566
573,13659I,BEACAN MIXED N S,Bekan,Claremorris,Co. Mayo,,Mayo,Mayo County Council,949380311,Marie McDonagh,bekanschool@gmail.com,F12RP44,N,N,N,No subjects through Irish,Catholic,68.0,82.0,150,"BEACAN MIXED N S, Bekan, Claremorris","Bekan National School, Bekan, Claremorris, Co. Mayo, Ireland",53.7586015,-8.8497217
574,13661S,DUNMANWAY CONVENT GIRLS SENIOR NATIONAL SCHOOL,Dunmanway,Co. Cork,,,Cork,Cork County Council,238845108,Mairéad Twohig,smgssd@gmail.com,P47CF70,N,N,N,No subjects through Irish,Catholic,95.0,5.0,100,"DUNMANWAY CONVENT GIRLS SENIOR NATIONAL SCHOOL, Dunmanway, Co. Cork","Dunmanway North, Co. Cork, Ireland",51.7237792,-9.114336699999999
575,13662U,DUNMANWAY CONVENT INF,Dunmanway,Co. Cork,,,Cork,Cork County Council,238856820,Marie Crowley,scoilnaionain.ias@eircom.net,P47CF70,N,N,N,No subjects through Irish,Catholic,49.0,50.0,99,"DUNMANWAY CONVENT INF, Dunmanway, Co. Cork","Sackville St, Brookpark, Dunmanway, Co. Cork, Ireland",51.72202960000001,-9.107468899999999
576,13663W,LOWER GLANMIRE N S,New Inn,Glanmire,Co. Cork,,Cork,Cork County Council,214866293,Micheál Ó Deasmhúnaigh,sgmi@eircom.net,T45VX70,N,N,N,No subjects through Irish,Catholic,55.0,72.0,127,"LOWER GLANMIRE N S, New Inn, Glanmire","New Inn, Glanmire, Co. Cork, Ireland",51.9199733,-8.412823699999999
577,13665D,S N AN CILLIN,Ballyshrule,Portumna,Co. Galway,,Galway,Galway County Council,909741884,Louise Lawless,info@killeenschool.com,H53DP84,N,N,N,No subjects through Irish,Catholic,33.0,40.0,73,"S N AN CILLIN, Ballyshrule, Portumna","Fairyhill, Portumna, Co. Galway, Ireland",53.0927811,-8.218540599999999
578,13667H,SN MUINE CHONALLAIN,Bonniconlon,Ballina,Co. Mayo,,Mayo,Mayo County Council,9645356,Emmet O'Connor,bonniconlonns@gmail.com,F26PK26,N,Y,N,No subjects through Irish,Catholic,47.0,38.0,85,"SN MUINE CHONALLAIN, Bonniconlon, Ballina","Ballina, Co. Mayo, Ireland",54.1149482,-9.1550693
579,13670T,DULARGY MIXED N S,Dulargy,Ravensdale,Co. Louth,,Louth,Louth County Council,429371536,Daniel Gallagher,dulargyns@gmail.com,A91P297,N,N,N,No subjects through Irish,Catholic,99.0,97.0,196,"DULARGY MIXED N S, Dulargy, Ravensdale","Dulargy, Ravensdale, Broughattin, Dundalk, Co. Louth, Ireland",54.0427072,-6.331172
580,13678M,KILLURNEY N S,Killurney,Clonmel,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,526133427,Tanya O'Brien,killurneyns@gmail.com,E91XN84,N,N,N,No subjects through Irish,Catholic,22.0,10.0,32,"KILLURNEY N S, Killurney, Clonmel","Ballypatrick, Cooloran, Clonmel, Co. Tipperary, Ireland",52.3963302,-7.605790400000001
581,13679O,DELGANY N S,Delgany,Co. Wicklow,,,Wicklow,Wicklow County Council,12876907,Anna Ovington,delganyns.ias@eircom.net,A63A657,N,N,N,No subjects through Irish,Church Of Ireland,107.0,120.0,227,"DELGANY N S, Delgany, Co. Wicklow","5 R762, Delgany, Co. Wicklow, Ireland",53.1324869,-6.085489400000001
582,13684H,SCOIL CHROÍ RÓ NAOFA BEANNCHOR IORRAIS,Srahanarry,Bangor Erris,Ballina,Co. Mayo,Mayo,Mayo County Council,9783422,Marie O'Donnell,bangorerrisns1@gmail.com,F26WD59,N,Y,N,No subjects through Irish,Catholic,26.0,12.0,38,"SCOIL CHROÍ RÓ NAOFA BEANNCHOR IORRAIS, Srahanarry, Bangor Erris","Srahanarry, Co. Mayo, Ireland",54.1460424,-9.732163199999999
583,13686L,S N NAOMH IOSEF,Nymphsfield,Cong,Co. Mayo,,Galway,Galway County Council,949546725,Martina Flannery,congnsmartina@gmail.com,F31XV80,N,N,N,No subjects through Irish,Catholic,41.0,51.0,92,"S N NAOMH IOSEF, Nymphsfield, Cong","Nymphsfield, The Derries, Co. Mayo, Ireland",53.5466127,-9.2796475
584,13696O,ST VINCENTS CONVENT N S,Wolfe Tone Street,Cork,,,Cork,Cork City Council,214306909,Niamh O'Sullivan,principal@stvincentsns.ie,T23PC43,N,Y,N,No subjects through Irish,Catholic,226.0,45.0,271,"ST VINCENTS CONVENT N S, Wolfe Tone Street, Cork","St Mary's Rd, Blackpool, Cork, Ireland",51.9056338,-8.4768445
585,13699U,S N COLMCILLE,Leitir Móir,Co. na Gaillimhe,,,Galway,Galway County Council,91551241,Caoimhín Ó Fátharta,caoimhinof@hotmail.com,H91NT25,Y,Y,N,All subjects through Irish,Catholic,19.0,9.0,28,"S N COLMCILLE, Leitir Móir, Co. na Gaillimhe","Inishlay, Lettermore, Co. Galway, Ireland",53.2887484,-9.655943700000002
586,13728B,CASTLETOWNSEND MXD N S,Gurranes,Castletownshend,Skibbereen,Co. Cork,Cork,Cork County Council,2836392,Audrey Collins,castletownshendns@gmail.com,P81VY73,N,N,N,No subjects through Irish,Catholic,66.0,60.0,126,"CASTLETOWNSEND MXD N S, Gurranes, Castletownshend","Gurranes, Castletownshend, Co. Cork, P81 VY73, Ireland",51.530754,-9.196615999999999
587,13730L,CLOHANES N S,Mullagh,Ennis,Co. Clare,,Clare,Clare County Council,657087533,Aideen O'Mahoney,clohanesns.ias@eircom.net,V95X326,N,N,N,No subjects through Irish,Catholic,13.0,16.0,29,"CLOHANES N S, Mullagh, Ennis","Cloonmore, Clohanes, Co. Clare, Ireland",52.76484,-9.471670099999999
588,13738E,BURRANE N S,Burrane Upper,Killimer,Kilrush,Co. Clare,Clare,Clare County Council,659053144,Helen Kelly,burranens.ias@eircom.net,V15EW83,N,N,N,No subjects through Irish,Catholic,15.0,13.0,28,"BURRANE N S, Burrane Upper, Killimer","Burrane Upper, Oaklands, Co. Clare, Ireland",52.6286843,-9.3618093
589,13741Q,RATH MIXED N S,Rath,Ballybrittas,Portlaoise,Co. Laois,Laois,Laois County Council,578626270,Tommy Fitzgearld,rathns1@gmail.com,R32Y510,N,N,N,No subjects through Irish,Catholic,108.0,111.0,219,"RATH MIXED N S, Rath, Ballybrittas","Rathronshin, Ballybrittas, Co. Laois, Ireland",53.094432,-7.0923216
590,13747F,RIVERSTOWN N S,Riverstown,Glanmire,Co. Cork,,Cork,Cork County Council,214866233,Pádraig Ó Breacáin,office@riverstownns.ie,T45XY22,N,N,N,No subjects through Irish,Catholic,352.0,355.0,707,"RIVERSTOWN N S, Riverstown, Glanmire","St Josephs View, Riverstown, Glanmire, Co. Cork, Ireland",51.9305033,-8.392882499999999
591,13752V,NAOMH PADRAIG N S,Muckerstaff,Coolarty,Co. Longford,,Longford,Longford County Council,436686652,Caroline McDermott,killeen.ns@gmail.com,N39K304,N,N,N,No subjects through Irish,Catholic,23.0,25.0,48,"NAOMH PADRAIG N S, Muckerstaff, Coolarty","Muckerstaff National School, Killeen, Coolarty, Co. Longford, Ireland",53.7596139,-7.5565152
592,13755E,GARTAN N S,Gartan,Letterkenny,Co. Donegal,,Donegal,Donegal County Council,749137443,Joanne Gildea,gartanns@live.com,F92DX92,N,Y,N,No subjects through Irish,Church Of Ireland,6.0,13.0,19,"GARTAN N S, Gartan, Letterkenny","Enterprise Fund Business Centre, Letterkenny, Co. Donegal, Ireland",54.96103400000001,-7.711907999999999
593,13757I,TARMON N S,Tarmon,Castlerea,Co. Roscommon,,Roscommon,Roscommon County Council,949621143,Ciarán Ó Dubhda,office@tarmonns.ie,F45K298,N,N,N,No subjects through Irish,Catholic,81.0,98.0,179,"TARMON N S, Tarmon, Castlerea","Castlerea, Ballinphuill, Castlerea, Co. Roscommon, Ireland",53.77083020000001,-8.4385414
594,13758K,TEMPLEMARY N S,Carbad Beg,Killala,Co. Mayo,,Mayo,Mayo County Council,9634760,Jarlath Dunford,templemaryns@gmail.com,F26R838,N,Y,N,No subjects through Irish,Catholic,15.0,24.0,39,"TEMPLEMARY N S, Carbad Beg, Killala","Templemary, stop 597351, Carbad Beg, Co. Mayo, Ireland",54.23371359999999,-9.2579278
595,13773G,S N GORT AN EADAIN,Facefield,Claremorris,Co. Mayo,,Mayo,Mayo County Council,949365635,Noel Commons,noelcommons@gmail.com,F12TX37,N,N,N,No subjects through Irish,Catholic,10.0,12.0,22,"S N GORT AN EADAIN, Facefield, Claremorris","Clare, Claremorris, Co. Mayo, Ireland",53.72387639999999,-9.0017356
596,13775K,ST PATRICKS N S,St Loman's Street,Trim,Co. Meath,,Meath,Meath County Council,469431892,Travor Larke,stpatricksnstrim@hotmail.com,C15X285,N,N,N,No subjects through Irish,Church Of Ireland,30.0,29.0,59,"ST PATRICKS N S, St Loman's Street, Trim","St Loman's St, Trim, Co. Meath, Ireland",53.5589635,-6.791384099999999
597,13779S,S N DHROM ATHAIN,Dromahane,Mallow,Co. Cork,,Cork,Cork County Council,2243573,Denis Murray,dromahanens@gmail.com,P51HW92,N,N,N,No subjects through Irish,Catholic,115.0,123.0,238,"S N DHROM ATHAIN, Dromahane, Mallow","Dromore, Dromahane, Co. Cork, Ireland",52.1056038,-8.6908349
598,13781F,BREAFFY N S,Breaffy,Castlebar,Co. Mayo,,Mayo,Mayo County Council,949024699,Seoirse Ó Morain,breaffynationalschool@eircom.net,F23WF99,N,Y,N,No subjects through Irish,Catholic,205.0,212.0,417,"BREAFFY N S, Breaffy, Castlebar","Castlebar, Breaghwy, Castlebar, Co. Mayo, Ireland",53.8478372,-9.2380903
599,13790G,BULGADEN N S,Bulgaden,Kilmallock,Co. Limerick,,Limerick,Limerick County Council,6398882,Catherine Daly,bulgadennnationalschool@gmail.com,V35F589,N,N,N,No subjects through Irish,Catholic,16.0,12.0,28,"BULGADEN N S, Bulgaden, Kilmallock","Bulgaden Eady, Bulgaden, Co. Limerick, V35 F589, Ireland",52.4226179,-8.5268126
600,13797U,LECANVEY N S,Lecanvey,Westport,Co. Mayo,,Mayo,Mayo County Council,9864957,Kevin O'Malley,lecanveyns.ias@eircom.net,F28DW72,N,N,N,No subjects through Irish,Catholic,13.0,18.0,31,"LECANVEY N S, Lecanvey, Westport","Westport, Co. Mayo, Ireland",53.80213070000001,-9.514346699999999
601,13804O,S N NA CRANNAIGHE,Carrowreagh East,Cranny,Kilrush,Co. Clare,Clare,Clare County Council,656832345,Edel McMahon,crannyns@gmail.com,V15EK02,N,N,N,No subjects through Irish,Catholic,10.0,6.0,16,"S N NA CRANNAIGHE, Carrowreagh East, Cranny","Carrowreagh East, Cranny, Co. Clare, Ireland",52.6924765,-9.2254726
602,13811L,CORCREAGH N S,Corcreagh,Shercock,Co. Cavan,,Monaghan,Monaghan County Council,429669404,Breda Duffy,corcreaghns123@gmail.com,A81YR59,N,N,N,No subjects through Irish,Catholic,17.0,21.0,38,"CORCREAGH N S, Corcreagh, Shercock","Corcreagh School, Raferagh, Shercock, Co. Monaghan, Ireland",53.9913705,-6.858146899999999
603,13815T,HOWTH RD MXD N S,Clontarf Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,18335124,Martha Woolmington,howthrdns@gmail.com,D03E166,N,N,N,No subjects through Irish,Presbyterian,50.0,48.0,98,"HOWTH RD MXD N S, Clontarf Road, Clontarf","Clontarf Rd, Clontarf, Dublin 3, D03 E166, Ireland",53.3639404,-6.2244934
604,13819E,PRIMROSE HILL NS,Hazelhatch Road,Celbridge,Co. Kildare,,Kildare,Kildare County Council,16273168,Caroline Flood,phns1814@gmail.com,W23YE97,N,N,N,No subjects through Irish,Church Of Ireland,55.0,59.0,114,"PRIMROSE HILL NS, Hazelhatch Road, Celbridge","Hazelhatch Rd, Donaghcumper, Celbridge, Co. Kildare, Ireland",53.3367795,-6.5369796
605,13821O,S N NA NAOMH UILE,Knockbrack,Cleggan,Co. Galway,,Galway,Galway County Council,9544808,Mary Aspell,snnaomhuile@gmail.com,H71VY19,N,Y,N,No subjects through Irish,Catholic,12.0,5.0,17,"S N NA NAOMH UILE, Knockbrack, Cleggan","Cleggan, Moorneen, Cleggan, Co. Galway, Ireland",53.556598,-10.1121917
606,13826B,KILMIHIL N.S.,Kilmihil,Co. Clare,,,Clare,Clare County Council,659050366,Carmel Coughlan,principal@kilmihilns.ie,V15VE04,N,N,N,No subjects through Irish,Catholic,49.0,47.0,96,"KILMIHIL N.S., Kilmihil, Co. Clare","Kilmihil National School, Church St, Kilmihil, Co. Clare, Ireland",52.7227439,-9.3191265
607,13828F,DOUGLAS B N S,Douglas West,Cork,,,Cork,Cork County Council,214364938,Daniel O'Connor,office@stcolumbasbns.ie,T12FW11,N,N,N,No subjects through Irish,Catholic,3.0,384.0,387,"DOUGLAS B N S, Douglas West, Cork","Douglas W, Douglas, Cork, Co. Cork, Ireland",51.87346710000001,-8.4417413
608,13831R,MOYLOUGH N S,Moylough,Tubbercurry,Co. Sligo,,Sligo,Sligo County Council,719186090,Kevin Giblin,moyloughns1990@gmail.com,F91T880,N,N,N,No subjects through Irish,Catholic,72.0,50.0,122,"MOYLOUGH N S, Moylough, Tubbercurry","Moylough National School, Moylough, Tobercurry, Co. Sligo, Ireland",54.0273351,-8.7046969
609,13839K,CARRICK N S,Carrick,Curraghboy,Athlone,Co. Westmeath,Roscommon,Roscommon County Council,906488293,Patrick Cronolly,curraghboyns@yahoo.co.uk,N37EK20,N,N,N,No subjects through Irish,Catholic,29.0,39.0,68,"CARRICK N S, Carrick, Curraghboy","Curraghboy, Athlone, Co. Westmeath, Ireland",53.4826978,-8.107217799999999
610,13847J,HOLLYFORD N S,Curraheen,Hollyford,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,6277226,Siobhán Ryan,hollyfordns@gmail.com,E34DX01,N,N,N,No subjects through Irish,Catholic,19.0,22.0,41,"HOLLYFORD N S, Curraheen, Hollyford","Clonmurragha, Hollyford Village, Co. Tipperary, Ireland",52.63253,-8.1114699
611,13856K,BUSHY PARK N S,Circular Road,Bushy Park,Galway,,Galway,Galway City Council,91524625,Joseph Carney,bushyparkns@gmail.com,H91AF57,N,N,N,No subjects through Irish,Catholic,180.0,185.0,365,"BUSHY PARK N S, Circular Road, Bushy Park","Circular Rd, Bushypark, Galway, H91 AF57, Ireland",53.2902201,-9.082876299999999
612,13867P,ROSCREA N S NO 2,Rosemount,Roscrea,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,50521636,Ann Reilly,cron.ias@eircom.net,E53A078,N,N,N,No subjects through Irish,Church Of Ireland,18.0,11.0,29,"ROSCREA N S NO 2, Rosemount, Roscrea","Rosemount, Demesne, Roscrea, Co. Tipperary, Ireland",52.95479779999999,-7.795852300000001
613,13870E,KILKISHEN N S,Kilkishen,Ennis,Co. Clare,,Clare,Clare County Council,61367289,Conor Harrison,kilkishennationalschool@gmail.com,V95EK54,N,N,N,No subjects through Irish,Catholic,76.0,56.0,132,"KILKISHEN N S, Kilkishen, Ennis","Kilkishen, Clonlea, Ennis, Co. Clare, Ireland",52.8049347,-8.7427017
614,13872I,ROBERTSON N S,Lisminton,Ballintra,Co. Donegal,,Donegal,Donegal County Council,749734363,Dawn Somerville,robertsonns@hotmail.com,F94Y283,N,Y,N,No subjects through Irish,Church Of Ireland,24.0,30.0,54,"ROBERTSON N S, Lisminton, Ballintra","Glebe, Stranorlar, Co. Donegal, Ireland",54.80576809999999,-7.762967299999999
615,13876Q,MOVEEN N S,Kilkee,Co. Clare,,,Clare,Clare County Council,659056248,Marie Ann Minogue,info@moveenns.ie,V15NF43,N,N,N,No subjects through Irish,Catholic,28.0,29.0,57,"MOVEEN N S, Kilkee, Co. Clare","Moveen National School, Moveen West, Kilkee, Co. Clare, Ireland",52.6434201,-9.6842176
616,13879W,SLATTA N S,Moher,Kilglass,Co. Roscommon,,Roscommon,Roscommon County Council,719638818,Cóilín Kelly,slattans@gmail.com,F42R796,N,N,N,No subjects through Irish,Catholic,14.0,12.0,26,"SLATTA N S, Moher, Kilglass","Cliffs of Moher, Lislorkan North, Co. Clare, Ireland",52.9715368,-9.4308824
617,13882L,S N GLEANN NA MUAIDHE,Béal an Átha,Co. Mhaigh Eo,,,Mayo,Mayo County Council,9787966,Bríd Nic Ghloinn,glenamoyns@gmail.com,F26NY57,Y,Y,N,Some subjects through Irish,Catholic,5.0,7.0,12,"S N GLEANN NA MUAIDHE, Béal an Átha, Co. Mhaigh Eo","Pollboy, Glenamoy, Co. Mayo, Ireland",54.2409359,-9.676034099999999
618,13889C,SHANBALLY N S,Shanbally,Ringaskiddy,Co. Cork,,Cork,Cork County Council,214378178,David Nolan,office@shanballyns.ie,P43W990,N,N,N,No subjects through Irish,Catholic,105.0,108.0,213,"SHANBALLY N S, Shanbally, Ringaskiddy","Shanbally, Ringaskiddy, Co. Cork, Ireland",51.8309928,-8.3533741
619,13902O,HEWETSONS N S,Millicent,Clane,Co. Kildare,,Kildare,Kildare County Council,45868233,Janet Morgan,info@hewetson.ie,W91CA34,N,N,N,No subjects through Irish,Church Of Ireland,46.0,41.0,87,"HEWETSONS N S, Millicent, Clane","Millicent Rd, Millicent North, Clane, Co. Kildare, W91 CA34, Ireland",53.2796731,-6.6932432
620,13908D,BALLAGHAMEEHAN N S,Conray,Rossinver,Co. Leitrim,,Leitrim,Leitrim County Council,719854073,Mary Dolan,bmeehannsirl@hotmail.com,F91HH90,N,N,N,No subjects through Irish,Catholic,10.0,18.0,28,"BALLAGHAMEEHAN N S, Conray, Rossinver","R282, Conray, Co. Leitrim, Ireland",54.3818249,-8.109340699999999
621,13910N,S N BUN AN TSABHAIRNE,Crosshaven,Co. Cork,,,Cork,Cork County Council,214831646,Séamus O' Connor,secretary@scoilbhridecrosshaven.ie,P43X242,N,N,N,No subjects through Irish,Catholic,219.0,,219,"S N BUN AN TSABHAIRNE, Crosshaven, Co. Cork","Crosshaven, Co. Cork, P43 X242, Ireland",51.8023015,-8.2984303
622,13914V,SCOIL NAOMH IOSEF,Ráthún,Bearna,Co. na Gaillimhe,,Galway,Galway City Council,91520933,Damian O'Keeffe,buailebeagns@hotmail.com,H91WY28,Y,N,N,Some subjects through Irish,Catholic,107.0,143.0,250,"SCOIL NAOMH IOSEF, Ráthún, Bearna","Barna, Co. Galway, Ireland",53.251812,-9.1474685
623,13927H,INISHBOFIN N S,Middlequarter,Inishbofin,Co. Galway,,Galway,Galway County Council,9545880,Celine McCormack,school@inishbofin.com,H91KV48,N,Y,Y,No subjects through Irish,Catholic,4.0,9.0,13,"INISHBOFIN N S, Middlequarter, Inishbofin","Middlequarter, Inishbofin, Co. Galway, Ireland",53.6225349,-10.2192531
624,13940W,ENNISCRONE N S,Enniscrone,Co. Sligo,,,Sligo,Sligo County Council,9636299,Grace Mulligan,screnniscrone@gmail.com,F26EW67,N,N,N,No subjects through Irish,Catholic,58.0,68.0,126,"ENNISCRONE N S, Enniscrone, Co. Sligo","Main Street, Carrowhubbuck South, Enniscrone, Co. Sligo, F26 Y3Y9, Ireland",54.2127105,-9.093793
625,13942D,S N CILL MUIRE,Kilmurry,Sixmilebridge,Co. Clare,,Clare,Clare County Council,61367623,Kevin Clohessy,principal@kilmurry-ns.ie,V95NX71,N,N,N,No subjects through Irish,Catholic,44.0,52.0,96,"S N CILL MUIRE, Kilmurry, Sixmilebridge","Ieverstown, Sixmilebridge, Co. Clare, Ireland",52.7436246,-8.777650399999999
626,13952G,S N BHRIDE,Leitir Caladh,Lettermore,Co. Galway,,Galway,Galway County Council,91551020,Caitlin Mhic Gearailt,scoilbhridelc@gmail.com,H91F3C5,Y,Y,N,All subjects through Irish,Catholic,6.0,9.0,15,"S N BHRIDE, Leitir Caladh, Lettermore","Inishlay, Lettermore, Co. Galway, Ireland",53.2887484,-9.655943700000002
627,13976U,ST MATTHIAS N S,Church Road,Ballydehob,Co. Cork,,Cork,Cork County Council,2837500,Ian Haseldine,stmatthiasns.ias@eircom.net,P81K544,N,Y,N,No subjects through Irish,Church Of Ireland,17.0,10.0,27,"ST MATTHIAS N S, Church Road, Ballydehob","1 Church Rd, Ballydehob, Co. Cork, P81 H735, Ireland",51.5635755,-9.467416
